---Top Five---
(3790, 5.608333333333333)
(3789, 5.508867667121419)
(3788, 5.493877551020408)
(3787, 5.493877551020408)
(3786, 5.539094650205762)

---Results---
(0, 16.152)
(1, 8.274590163934427)
(2, 8.17408906882591)
(3, 8.291581108829568)
(4, 8.17408906882591)
(252, 5.2578125)
(253, 5.11787072243346)
(254, 5.150510204081632)
(255, 5.11787072243346)
(256, 5.11787072243346)
(504, 4.93643031784841)
(505, 4.593856655290102)
(506, 5.434724091520861)
(507, 4.918392204628502)
(508, 4.706293706293707)
(757, 4.099492385786802)
(758, 4.145790554414784)
(759, 4.107833163784334)
(760, 4.175801447776629)
(761, 4.12461695607763)
(1009, 8.34297520661157)
(1010, 8.190669371196755)
(1011, 8.257668711656441)
(1012, 8.157575757575758)
(1013, 8.076)
(1262, 8.076)
(1263, 8.076)
(1264, 8.092184368737474)
(1265, 8.190669371196755)
(1266, 8.124748490945674)
(1514, 8.190669371196755)
(1515, 8.257668711656441)
(1516, 8.953436807095343)
(1517, 8.224032586558044)
(1518, 8.108433734939759)
(1767, 5.843704775687409)
(1768, 6.099697885196375)
(1769, 6.86734693877551)
(1770, 5.8691860465116275)
(1771, 5.86066763425254)
(2019, 8.157575757575758)
(2020, 9.053811659192826)
(2021, 8.17408906882591)
(2022, 8.240816326530613)
(2023, 8.224032586558044)
(2271, 8.993318485523385)
(2272, 8.190669371196755)
(2273, 8.518987341772151)
(2274, 8.274590163934427)
(2275, 9.115124153498872)
(2524, 5.56198347107438)
(2525, 5.592797783933518)
(2526, 5.852173913043478)
(2527, 5.55433287482806)
(2528, 5.56198347107438)
(2776, 8.059880239520957)
(2777, 8.759219088937094)
(2778, 8.395010395010395)
(2779, 8.092184368737474)
(2780, 8.224032586558044)
(3029, 8.257668711656441)
(3030, 8.124748490945674)
(3031, 8.076)
(3032, 8.240816326530613)
(3033, 8.483193277310924)
(3281, 5.1835686777920404)
(3282, 5.150510204081632)
(3283, 5.190231362467866)
(3284, 5.190231362467866)
(3285, 5.1835686777920404)
(3534, 8.257668711656441)
(3535, 8.207317073170731)
(3536, 8.190669371196755)
(3537, 8.092184368737474)
(3538, 8.207317073170731)
(3786, 5.539094650205762)
(3787, 5.493877551020408)
(3788, 5.493877551020408)
(3789, 5.508867667121419)
(3790, 5.608333333333333)
